symbol,exchange,date,open,high,low,close,volume,split_factor,dividend,daily_return,ma_7,ma_30
AAPL,XNAS,2025-05-02 05:45:00+05:45,206.09,206.99,202.16,205.35,100912500,1,0,-0.0035906642728905287,210.02428571428572,206.38966666666667
AAPL,XNAS,2025-05-05 05:45:00+05:45,203.1,204.1,198.21,198.89,68915400,1,0,-0.020728705071393443,208.67000000000002,205.74366666666666
AAPL,XNAS,2025-05-06 05:45:00+05:45,198.125,200.649,197.02,198.51,49201973,1,0,0.0019432176656150961,207.1314285714286,205.00300000000001
AAPL,XNAS,2025-05-07 05:45:00+05:45,199.195,199.44,193.25,196.25,65920024,1,0,-0.014784507643264104,205.14714285714285,204.08633333333333
AAPL,XNAS,2025-05-08 05:45:00+05:45,197.74,200.0498,194.6796,197.49,49118233,1,0,-0.0012642864367351067,203.18714285714287,203.285
AAPL,XNAS,2025-05-09 05:45:00+05:45,199,200.54,197.54,198.53,36415700,1,0,-0.002361809045226125,201.19142857142856,202.44099999999997
AAPL,XNAS,2025-05-12 05:45:00+05:45,210.97,211.2665,206.75,210.79,63024455,1,0.26,-0.0008532018770441618,200.82999999999998,202.204
AAPL,XNAS,2025-05-13 05:45:00+05:45,210.43,213.4,209,212.93,51759900,1,0,0.01188043529914936,201.91285714285715,201.89733333333334
AAPL,XNAS,2025-05-14 05:45:00+05:45,212.43,213.94,210.58,212.33,49253000,1,0,-0.0004707433036764784,203.83285714285714,201.5353333333333
AAPL,XNAS,2025-05-15 05:45:00+05:45,210.95,212.96,209.54,211.45,44979900,1,0,0.002370229912301493,205.68142857142857,201.12066666666666
AAPL,XNAS,2025-05-16 05:45:00+05:45,212.36,212.57,209.77,211.26,53659100,1,0,-0.005179883217178483,207.82571428571427,201.38966666666664
AAPL,XNAS,2025-05-19 05:45:00+05:45,207.91,209.48,204.26,208.78,45310800,1,0,0.004184502909912965,209.4385714285714,202.06966666666665
AAPL,XNAS,2025-05-20 05:45:00+05:45,207.67,208.47,205.03,206.86,42443700,1,0,-0.003900418933885366,210.6285714285714,202.9163333333333
AAPL,XNAS,2025-05-21 05:45:00+05:45,205.17,207.04,200.71,202.09,59134800,1,0,-0.015011941316956594,209.3857142857143,203.90533333333332
AAPL,XNAS,2025-05-22 05:45:00+05:45,200.71,202.75,199.7,201.36,46633900,1,0,0.0032385033132380334,207.7328571428571,203.989
AAPL,XNAS,2025-05-23 05:45:00+05:45,193.665,197.7,193.46,195.27,78432918,1,0,0.008287506777166852,205.29571428571427,204.1506666666667
AAPL,XNAS,2025-05-27 05:45:00+05:45,198.3,200.74,197.43,200.21,56229000,1,0,0.009631870902672701,203.69,204.21933333333337
AAPL,XNAS,2025-05-28 05:45:00+05:45,200.59,202.73,199.9,200.42,44158300,1,0,-0.0008474998753677447,202.14142857142858,204.14933333333332
AAPL,XNAS,2025-05-29 05:45:00+05:45,203.575,203.78,198.51,199.95,51174958,1,0,-0.017806705145523762,200.88000000000002,204.07633333333334
AAPL,XNAS,2025-05-30 05:45:00+05:45,199.37,201.96,196.78,200.85,70753100,1,0,0.007423383658524301,200.02142857142857,204.29566666666668
AAPL,XNAS,2025-06-02 05:45:00+05:45,200.15,202.13,200.12,201.7,35314257,1,0,0.007744191856107834,199.96571428571428,204.45299999999997
AAPL,XNAS,2025-06-03 05:45:00+05:45,201.35,203.77,200.96,203.27,46342500,1,0,0.009535634467345499,200.23857142857145,204.79
AAPL,XNAS,2025-06-04 05:45:00+05:45,202.91,206.24,202.15,202.82,42889828,1,0,-0.00044354639988173776,201.31714285714287,204.89266666666666
AAPL,XNAS,2025-06-05 05:45:00+05:45,203.5,204.75,200.15,200.63,55126100,1,0,-0.014103194103194126,201.37714285714287,204.7603333333333
AAPL,XNAS,2025-06-06 05:45:00+05:45,203,205.7,202.05,203.92,46539200,1,0,0.004532019704433436,201.87714285714284,204.612
AAPL,XNAS,2025-06-09 05:45:00+05:45,204.39,206,200.02,201.45,72726700,1,0,-0.014384265375018338,202.09142857142857,204.351
AAPL,XNAS,2025-06-10 05:45:00+05:45,200.6,204.35,200.57,202.67,54553200,1,0,0.01031904287138581,202.35142857142858,204.10199999999998
AAPL,XNAS,2025-06-11 05:45:00+05:45,203.5,204.5,198.41,198.78,60820200,1,0,-0.02319410319410319,201.93428571428572,203.68766666666664
AAPL,XNAS,2025-06-12 05:45:00+05:45,199.08,199.68,197.36,199.2,43758300,1,0,0.0006027727546713689,201.35285714285712,203.24433333333334
AAPL,XNAS,2025-06-13 05:45:00+05:45,199.73,200.37,195.7,196.45,51362400,1,0,-0.016422169929404703,200.44285714285712,202.682
AAPL,XNAS,2025-06-16 05:45:00+05:45,197.29,198.685,196.5636,198.42,42837838,1,0,0.005727609103350375,200.12714285714284,202.451
AAPL,XNAS,2025-06-17 05:45:00+05:45,197.2,198.3889,195.21,195.64,38772936,1,0,-0.007910750507099404,198.9442857142857,202.34266666666664
AAPL,XNAS,2025-06-18 05:45:00+05:45,195.945,197.57,195.07,196.58,44864157,1,0,0.003240705299956719,198.24857142857144,202.2783333333333
AAPL,XNAS,2025-06-20 05:45:00+05:45,198.235,201.7,196.855,201,96813542,1,0,0.013948091911115526,198.01,202.43666666666664
AAPL,XNAS,2025-06-23 05:45:00+05:45,201.532,202.3,198.96,201.5,55481396,1,0,-0.00015878371672990238,198.39857142857142,202.5703333333333
AAPL,XNAS,2025-06-24 05:45:00+05:45,202.59,203.44,200.2,200.3,53899923,1,0,-0.011303618145021926,198.5557142857143,202.62933333333334
AAPL,XNAS,2025-06-25 05:45:00+05:45,201.45,203.67,200.62,201.56,39454000,1,0,0.0005460412012907106,199.28571428571428,202.3216666666667
AAPL,XNAS,2025-06-26 05:45:00+05:45,201.43,202.615,199.46,201,50117398,1,0,-0.002134736633073558,199.6542857142857,201.924
AAPL,XNAS,2025-06-27 05:45:00+05:45,201.89,203.22,200,201.08,73114100,1,0,-0.004012085789291069,200.4314285714286,201.549
AAPL,XNAS,2025-06-30 05:45:00+05:45,202.01,207.39,199.2607,205.17,90651078,1,0,0.015642789960893008,201.6585714285714,201.3396666666667
AAPL,XNAS,2025-07-01 05:45:00+05:45,206.665,210.1865,206.1401,207.82,77921627,1,0,0.005588754748022167,202.63285714285712,201.225
AAPL,XNAS,2025-07-02 05:45:00+05:45,209.08,213.34,208.14,212.44,67834447,1,0,0.016070403673235055,204.19571428571427,201.34700000000004
AAPL,XNAS,2025-07-03 05:45:00+05:45,212.145,214.65,211.8101,213.55,34955836,1,0,0.006622828725635773,206.0885714285714,201.57
AAPL,XNAS,2025-07-07 05:45:00+05:45,212.68,216.23,208.8,209.95,49905104,1,0,-0.01283618581907099,207.28714285714287,201.832
AAPL,XNAS,2025-07-08 05:45:00+05:45,210.13,211.43,208.45,210.01,42036884,1,0,-0.0005710750487793487,208.5742857142857,202.12033333333332
AAPL,XNAS,2025-07-09 05:45:00+05:45,209.53,211.33,207.22,211.14,48408519,1,0,0.007683863885839666,210.01142857142855,202.64933333333332
AAPL,XNAS,2025-07-10 05:45:00+05:45,210.505,213.48,210.12,212.41,43770740,1,0,0.009049666278710724,211.04571428571427,203.05599999999998
AAPL,XNAS,2025-07-11 05:45:00+05:45,210.57,212.13,209.86,211.16,39719300,1,0,0.002801918601890124,211.52285714285716,203.41400000000002
AAPL,XNAS,2025-07-14 05:45:00+05:45,209.909,210.91,207.54,208.62,37683849,1,0,-0.0061407562324625785,210.97714285714287,203.70299999999997
AAPL,XNAS,2025-07-15 05:45:00+05:45,209.15,211.89,208.92,209.11,42071894,1,0,-0.00019125029882855388,210.34285714285713,203.97833333333335
AAPL,XNAS,2025-07-16 05:45:00+05:45,210.29,212.4,208.64,210.16,47148580,1,0,-0.0006181939226781847,210.37285714285716,204.26033333333334
AAPL,XNAS,2025-07-17 05:45:00+05:45,210.625,211.8,209.59,210.02,47738194,1,0,-0.002872403560830812,210.37428571428572,204.48533333333333
AAPL,XNAS,2025-07-18 05:45:00+05:45,210.87,211.79,209.7,211.18,48939500,1,0,0.0014701000616493681,210.37999999999997,204.764
AAPL,XNAS,2025-07-21 05:45:00+05:45,212.05,215.78,211.6409,212.48,51064253,1,0,0.0020278236265030814,210.39000000000001,205.15900000000002
AAPL,XNAS,2025-07-22 05:45:00+05:45,213.14,214.95,212.23,214.4,46300400,1,0,0.005911607394201086,210.85285714285715,205.50833333333333
AAPL,XNAS,2025-07-23 05:45:00+05:45,215.045,215.1,212.41,214.15,46415026,1,0,-0.004161919598223544,211.64285714285714,205.93166666666667
AAPL,XNAS,2025-07-24 05:45:00+05:45,213.9,215.69,213.53,213.76,45773373,1,0,-0.0006545114539505132,212.30714285714288,206.30133333333333
AAPL,XNAS,2025-07-25 05:45:00+05:45,214.7,215.24,213.4,213.88,40219700,1,0,-0.003819282720074491,212.8385714285714,206.8046666666667
AAPL,XNAS,2025-07-28 05:45:00+05:45,214.03,214.85,213.06,214.05,37796900,1,0,9.344484418077014e-05,213.41428571428568,207.29966666666667
AAPL,XNAS,2025-07-29 05:45:00+05:45,214.18,214.81,210.82,211.27,49943600,1,0,-0.01358670277336818,213.42714285714283,207.79366666666664
AAPL,XNAS,2025-07-30 05:45:00+05:45,211.9,212.39,207.72,209.05,43797200,1,0,-0.013449740443605447,212.93714285714287,208.148
AAPL,XNAS,2025-07-31 05:45:00+05:45,208.49,209.84,207.16,207.57,78744400,1,0,-0.004412681663389207,211.96142857142857,208.5456666666667
AAPL,XNAS,2025-08-01 05:45:00+05:45,210.87,213.58,201.5,202.38,104301700,1,0,-0.040261772656138894,210.28,208.739
AAPL,XNAS,2025-08-04 05:45:00+05:45,204.51,207.88,201.68,203.35,75020600,1,0,-0.005672094274118609,208.79285714285714,208.81733333333335
AAPL,XNAS,2025-08-05 05:45:00+05:45,203.4,205.34,202.16,202.92,44106200,1,0,-0.0023598820058997943,207.22714285714287,208.8646666666667
AAPL,XNAS,2025-08-06 05:45:00+05:45,205.63,215.38,205.59,213.25,106498000,1,0,0.03705684968146673,207.11285714285714,209.29633333333334
AAPL,XNAS,2025-08-07 05:45:00+05:45,218.88,220.85,216.58,220.03,89932900,1,0,0.0052540204678362835,208.36428571428573,209.91199999999998
AAPL,XNAS,2025-08-08 05:45:00+05:45,220.83,231,219.25,229.35,113696100,1,0,0.03858171444097261,211.2642857142857,210.857
AAPL,XNAS,2025-08-11 05:45:00+05:45,227.92,229.56,224.76,227.18,61725300,1,0.26,-0.003246753246753162,214.06571428571428,211.72699999999998
AAPL,XNAS,2025-08-12 05:45:00+05:45,228.01,230.8,227.07,229.65,55626200,1,0,0.0071926669882900526,217.96142857142854,212.543
AAPL,XNAS,2025-08-13 05:45:00+05:45,231.07,235,230.43,233.33,69833200,1,0,0.00978058596961968,222.24428571428572,213.39333333333335
AAPL,XNAS,2025-08-14 05:45:00+05:45,234.06,235.12,230.85,232.78,51857600,1,0,-0.0054686832436127535,226.51,214.0713333333333
AAPL,XNAS,2025-08-15 05:45:00+05:45,234,234.28,229.34,231.59,56010500,1,0,-0.010299145299145284,229.13000000000002,214.6726666666667
AAPL,XNAS,2025-08-18 05:45:00+05:45,231.78,233.12,230.11,230.89,36051605,1,0,-0.003839848131849231,230.68142857142857,215.37066666666666
AAPL,XNAS,2025-08-19 05:45:00+05:45,231.28,232.87,229.35,230.56,39320800,1,0,-0.003113109650639912,230.8542857142857,216.05566666666667
AAPL,XNAS,2025-08-20 05:45:00+05:45,229.98,230.47,225.77,226.01,42190600,1,0,-0.017262370640925295,230.68714285714285,216.55133333333333
AAPL,XNAS,2025-08-21 05:45:00+05:45,226.27,226.52,223.78,224.9,30593700,1,0,-0.00605471339550097,230.00857142857146,216.96766666666664
AAPL,XNAS,2025-08-22 05:45:00+05:45,226.17,229.09,225.41,227.76,42445300,1,0,0.007030110094176962,229.21285714285713,217.52100000000002
AAPL,XNAS,2025-08-25 05:45:00+05:45,226.48,229.3,226.23,227.16,30965700,1,0,0.003002472624514336,228.41,218.139
AAPL,XNAS,2025-08-26 05:45:00+05:45,226.87,229.49,224.69,229.31,54524400,1,0,0.010755057962709912,228.08428571428573,218.81233333333333
AAPL,XNAS,2025-08-27 05:45:00+05:45,228.61,230.9,228.26,230.49,31200700,1,0,0.008223612265430188,228.02714285714288,219.48999999999998
AAPL,XNAS,2025-08-28 05:45:00+05:45,230.81,233.41,229.335,232.56,37892960,1,0,0.007581993847753563,228.31285714285715,220.24133333333336
AAPL,XNAS,2025-08-29 05:45:00+05:45,232.51,233.38,231.37,232.14,39418437,1,0,-0.0015913294051868932,229.1885714285714,220.94
AAPL,XNAS,2025-09-02 05:45:00+05:45,229.25,230.85,226.97,229.72,43804400,1,0,0.002050163576881129,229.87714285714284,221.51466666666664
AAPL,XNAS,2025-09-03 05:45:00+05:45,237.21,238.85,234.36,238.47,66302400,1,0,0.005311749083090894,231.40714285714284,222.317
AAPL,XNAS,2025-09-04 05:45:00+05:45,238.45,239.9,236.74,239.78,47504000,1,0,0.005577689243027941,233.21,223.17133333333334
AAPL,XNAS,2025-09-05 05:45:00+05:45,240,241.32,238.49,239.69,54837300,1,0,-0.0012916666666666762,234.69285714285712,224.03566666666666
AAPL,XNAS,2025-09-08 05:45:00+05:45,239.3,240.15,236.34,237.88,48959400,1,0,-0.005933974091099105,235.74857142857144,224.83566666666667
