symbol,date,open,high,low,close,volume,daily_return
AAPL,2025-02-16 05:45:00+05:45,234.39,245.55,228.13,238.905,193360427,0.019320070689447705
AAPL,2025-02-23 05:45:00+05:45,244.8725,248.69,241.84,245.18,164587062,0.001259637494369133
AAPL,2025-03-02 05:45:00+05:45,242.6996,249.98,230.2,242.728,238949448,0.00021337750252547333
AAPL,2025-03-09 05:45:00+05:45,236.8784,244.0272,229.23,236.82,237712410,-0.00014416822150546959
AAPL,2025-03-16 05:45:00+05:45,221.32199999999997,236.16,208.42,217.69400000000002,328155603,-0.015987948288965312
AAPL,2025-03-23 05:45:00+05:45,213.454,218.84,209.98,214.85999999999999,286016112,0.006644125493062103
AAPL,2025-03-30 05:45:00+05:45,221.664,225.02,217.68,221.552,187586079,-0.00047746370659044226
AAPL,2025-04-06 05:45:00+05:45,211.525,225.19,187.34,212.156,361687537,0.0020910508347717753
AAPL,2025-04-13 05:45:00+05:45,182.2828,200.61,169.2101,188.26,664536549,0.03469242223407707
AAPL,2025-04-20 05:45:00+05:45,202.21375,212.94,192.37,198.9775,261921209,-0.015627424829680457
AAPL,2025-04-27 05:45:00+05:45,201.31900000000002,209.75,189.8112,203.03,236698790,0.008492800630520488
AAPL,2025-05-04 05:45:00+05:45,208.6446,214.56,202.16,210.504,279915326,0.008883867051262167
AAPL,2025-05-11 05:45:00+05:45,199.432,204.1,193.25,197.934,269571330,-0.007439218106200736
AAPL,2025-05-18 05:45:00+05:45,211.42800000000003,213.94,206.75,211.752,262676355,0.0015493673627103458
AAPL,2025-05-25 05:45:00+05:45,203.025,209.48,193.46,202.872,271956118,-0.0006403694501048218
AAPL,2025-06-01 05:45:00+05:45,200.45875,203.78,196.78,200.3575,222315358,-0.0003997376149236264
AAPL,2025-06-08 05:45:00+05:45,202.182,206.24,200.12,202.468,226211885,0.001453021104962181
AAPL,2025-06-15 05:45:00+05:45,201.45999999999998,206,195.7,199.70999999999998,283220800,-0.008615744574493812
AAPL,2025-06-22 05:45:00+05:45,197.1675,201.7,195.07,197.91,223288473,0.003751413951830804
AAPL,2025-06-29 05:45:00+05:45,201.7784,203.67,198.96,201.08800000000002,272066817,-0.003412636616565149
AAPL,2025-07-06 05:45:00+05:45,207.475,214.65,199.2607,209.745,271362988,0.0109811942769465
AAPL,2025-07-13 05:45:00+05:45,210.683,216.23,207.22,210.93400000000003,223840547,0.0012256375797180352
