symbol,date,open,high,low,close,volume,daily_return
AAPL,2025-02-28 05:45:00+05:45,240.8113846153846,249.98,228.13,242.30615384615385,596896937,0.006414286172914978
AAPL,2025-03-31 05:45:00+05:45,223.03866666666667,244.0272,208.42,222.70285714285714,1104548456,-0.0012963553245854433
AAPL,2025-04-30 05:45:00+05:45,199.7772380952381,225.19,169.2101,201.18380952380951,1582377459,0.008047549427744657
AAPL,2025-05-31 05:45:00+05:45,204.1157142857143,214.56,193.25,203.94714285714286,1183822861,-0.0008362569895035242
AAPL,2025-06-30 05:45:00+05:45,200.8891,207.39,195.07,200.65699999999998,1095439053,-0.0011114177331133833
AAPL,2025-07-31 05:45:00+05:45,211.34472727272725,216.23,206.1401,211.2809090909091,1068189326,-0.0002724678043360925
AAPL,2025-08-31 05:45:00+05:45,224.28285714285713,235.12,201.5,224.64714285714285,1213212502,0.0016804467806190249
AAPL,2025-09-30 05:45:00+05:45,241.9038095238095,257.6,225.95,242.48619047619047,1261540384,0.0024226399303364766
AAPL,2025-10-31 05:45:00+05:45,258.51217391304345,277.32,244,258.29521739130433,1091343562,-0.000751530522752815
AAPL,2025-11-30 05:45:00+05:45,270.94111111111107,280.38,265.32,271.74611111111113,796395643,0.0030042601304694824
AAPL,2025-12-31 05:45:00+05:45,276.6785681818182,288.61,266.96,276.30636363636364,870745552,-0.0013144899048353914
AAPL,2026-01-31 05:45:00+05:45,258.10974999999996,277.8248,243.42,257.6495,981792427,-0.0017053106891148592
AAPL,2026-02-28 05:45:00+05:45,272.7735714285714,280.905,259.205,274.0442857142857,408198099,0.004971092028845327
GOOGL,2025-02-28 05:45:00+05:45,181.155,186.94,166.77,179.98,385590275,-0.006537004708576601
GOOGL,2025-03-31 05:45:00+05:45,165.5197619047619,174.97,150.662,165.36095238095237,732189869,-0.0009306649622562496
GOOGL,2025-04-30 05:45:00+05:45,154.11190476190475,166.1,140.53,154.55809523809523,842648278,0.0034212190625053074
GOOGL,2025-05-31 05:45:00+05:45,164.5847619047619,176.77,147.84,164.37952380952382,942808158,-0.001158286781284154
GOOGL,2025-06-30 05:45:00+05:45,172.51600000000002,181.23,162,172.5485,847447900,0.00029973502879216356
GOOGL,2025-07-31 05:45:00+05:45,184.75181818181818,197.95,172.77,184.93363636363637,859633386,0.0011579052942954624
GOOGL,2025-08-31 05:45:00+05:45,201.0685714285714,214.645,187.82,202.09047619047618,616969392,0.005105794187699036
GOOGL,2025-09-30 05:45:00+05:45,241.88333333333335,256,206.2,242.53238095238098,826460264,0.002986741124472764
GOOGL,2025-10-31 05:45:00+05:45,253.7386956521739,291.59,235.84,254.1704347826087,725714105,0.0019945424152230467
GOOGL,2025-11-30 05:45:00+05:45,292.9907894736842,328.83,270.7,292.9273684210526,837397013,4.4373444289117246e-05
GOOGL,2025-12-31 05:45:00+05:45,313.20975,323.16,296.12,312.51,661259882,-0.002156256835881548
GOOGL,2026-01-31 05:45:00+05:45,328.09625,342.26,310.33,328.8695,609207340,0.002486034254302899
GOOGL,2026-02-28 05:45:00+05:45,329.4714285714286,349,306.46,330.49285714285713,359491032,0.0038360654926280656
MSFT,2025-02-28 05:45:00+05:45,406.35361538461535,419.31,386.57,406.1038461538462,305160464,-0.0005727649629559174
MSFT,2025-03-31 05:45:00+05:45,387.2559523809524,402.15,367.24,387.65,482543109,0.001107130433038664
MSFT,2025-04-30 05:45:00+05:45,376.2528571428572,396.65,344.79,378.2314285714286,550723341,0.005565279652358623
MSFT,2025-05-31 05:45:00+05:45,447.10428571428577,462.52,424.9,448.137619047619,474269003,0.0023136534670995905
MSFT,2025-06-30 05:45:00+05:45,476.8735,500.76,456.89,478.54949999999997,400834158,0.00355125300360307
MSFT,2025-07-31 05:45:00+05:45,506.92136363636365,555.45,488.7,506.2927272727273,395907359,-0.0010318075076292462
MSFT,2025-08-31 05:45:00+05:45,518.437619047619,538.25,498.51,516.3328571428572,453683897,-0.003957748863347781
MSFT,2025-09-30 05:45:00+05:45,508.10571428571427,519.3,492.37,507.95238095238096,423051892,-0.00028522838058357887
MSFT,2025-10-31 05:45:00+05:45,522.1526086956521,553.72,506,521.2030434782608,466931015,-0.0017308601068549104
MSFT,2025-11-30 05:45:00+05:45,497.74447368421056,524.96,464.89,496.79894736842107,467886404,-0.0018856747467936757
MSFT,2025-12-31 05:45:00+05:45,482.8726190476191,493.5,470.88,483.81333333333333,454634037,0.0019672017561003074
MSFT,2026-01-31 05:45:00+05:45,465.65964999999994,489.7,421.02,465.0455,668763245,-0.0013383477003335695
MSFT,2026-02-28 05:45:00+05:45,413.51714285714286,430.736,392.33,410.0642857142857,350198735,-0.008122355433637941
